,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
0,0,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/5.png,2,no,,3505,1,42,1
1,1,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/8.png,2,no,,4919,1,42,1
2,2,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/1.png,2,no,,1808,1,42,1
3,3,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/15.png,2,no,,885,1,42,1
4,4,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/3.png,2,yes,,1178,1,42,1
5,5,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/16.png,2,no,,1201,1,42,1
6,6,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/9.png,2,no,,3052,1,42,1
7,7,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/16.png,2,no,,862,1,42,1
8,8,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,2,no,,2254,1,42,1
9,9,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/12.png,2,yes,,957,1,42,1
10,10,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/6.png,2,yes,,1008,1,42,1
11,11,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/13.png,2,no,,1314,1,42,1
12,12,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/4.png,2,no,,1542,1,42,1
13,13,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/16.png,2,no,,887,1,42,1
14,14,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/1.png,2,no,,1258,1,42,1
15,15,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/16.png,2,no,,949,1,42,1
16,16,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,2,no,,920,1,42,1
