,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
2355,23,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,1,yes,1,789,0.0,77,1
2356,24,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/6.png,0,no,1,852,0.0,77,1
2357,25,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/1.png,0,no,1,1079,0.0,77,1
2358,26,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,1,yes,1,1019,0.0,77,1
2359,27,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/15.png,0,no,1,833,0.0,77,1
2360,28,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,1,yes,1,725,0.0,77,1
2361,29,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/4.png,0,no,1,736,0.0,77,1
2362,30,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/13.png,0,no,1,877,0.0,77,1
2363,0,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,,,,14,,244,2
2364,1,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,,,,63691,,244,2
2365,2,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,,,,3147,,244,2
2366,3,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,,,,3440,,244,2
2367,4,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,,,,1993,,244,2
2368,5,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,,,,2558,,244,2
2369,6,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,2441,,244,2
2370,7,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,,,,2707,,244,2
2371,8,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,27793,,244,2
2372,9,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/12.png,,,,4331,,244,2
2373,10,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/9.png,,,,2500,,244,2
2374,11,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/15.png,,,,2254,,244,2
2375,12,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,2366,,244,2
2376,13,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,2943,,244,2
2377,14,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,1926,,244,2
2378,15,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/13.png,,,,1920,,244,2
2379,0,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,2090,,244,2
2380,1,1,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/15.png,,,,2219,,244,2
2381,2,1,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/13.png,,,,2148,,244,2
2382,3,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,5093,,244,2
2383,4,1,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,,,,2110,,244,2
2384,5,1,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,,,,2382,,244,2
2385,6,1,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,,,,3231,,244,2
2386,7,1,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,,,,3364,,244,2
2387,8,1,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,,,,2232,,244,2
2388,9,1,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/12.png,,,,2279,,244,2
