,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
0,0,0,./static/experiments/de1c/materials/stim_files/10.png,./static/experiments/de1c/materials/stim_files/2.png,0,yes,1,9129,1,42,4
1,1,0,./static/experiments/de1c/materials/stim_files/6.png,./static/experiments/de1c/materials/stim_files/2.png,1,yes,0,2690,1,42,4
2,2,0,./static/experiments/de1c/materials/stim_files/3.png,./static/experiments/de1c/materials/stim_files/7.png,1,no,1,3918,1,42,4
3,3,0,./static/experiments/de1c/materials/stim_files/5.png,./static/experiments/de1c/materials/stim_files/9.png,1,yes,0,2511,1,42,4
4,4,0,./static/experiments/de1c/materials/stim_files/5.png,./static/experiments/de1c/materials/stim_files/1.png,1,no,1,2053,1,42,4
5,5,0,./static/experiments/de1c/materials/stim_files/3.png,./static/experiments/de1c/materials/stim_files/11.png,0,yes,1,2440,1,42,4
6,6,0,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/9.png,0,no,0,1943,1,42,4
7,7,0,./static/experiments/de1c/materials/stim_files/3.png,./static/experiments/de1c/materials/stim_files/11.png,0,yes,1,2144,1,42,4
8,8,0,./static/experiments/de1c/materials/stim_files/8.png,./static/experiments/de1c/materials/stim_files/4.png,1,no,1,1767,1,42,4
9,9,0,./static/experiments/de1c/materials/stim_files/10.png,./static/experiments/de1c/materials/stim_files/6.png,1,yes,0,2541,1,42,4
10,10,0,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/4.png,0,yes,1,2192,1,42,4
11,11,0,./static/experiments/de1c/materials/stim_files/8.png,./static/experiments/de1c/materials/stim_files/12.png,1,yes,0,2049,1,42,4
12,12,0,./static/experiments/de1c/materials/stim_files/11.png,./static/experiments/de1c/materials/stim_files/7.png,1,no,1,1828,1,42,4
13,13,0,./static/experiments/de1c/materials/stim_files/10.png,./static/experiments/de1c/materials/stim_files/2.png,0,no,0,2708,1,42,4
14,14,0,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/9.png,0,no,0,1593,1,42,4
15,15,0,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/4.png,0,no,0,3049,1,42,4
16,0,1,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/4.png,0,yes,1,1149,1,42,4
17,1,1,./static/experiments/de1c/materials/stim_files/7.png,./static/experiments/de1c/materials/stim_files/11.png,1,no,1,2574,1,42,4
18,2,1,./static/experiments/de1c/materials/stim_files/7.png,./static/experiments/de1c/materials/stim_files/3.png,1,yes,0,1856,1,42,4
19,3,1,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/9.png,0,yes,1,4299,1,42,4
20,4,1,./static/experiments/de1c/materials/stim_files/6.png,./static/experiments/de1c/materials/stim_files/10.png,1,no,1,4246,1,42,4
21,5,1,./static/experiments/de1c/materials/stim_files/5.png,./static/experiments/de1c/materials/stim_files/9.png,1,no,1,3416,1,42,4
22,6,1,./static/experiments/de1c/materials/stim_files/11.png,./static/experiments/de1c/materials/stim_files/3.png,0,yes,1,4181,1,42,4
23,7,1,./static/experiments/de1c/materials/stim_files/8.png,./static/experiments/de1c/materials/stim_files/12.png,1,no,1,2669,1,42,4
24,8,1,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/9.png,0,no,0,3009,1,42,4
25,9,1,./static/experiments/de1c/materials/stim_files/4.png,./static/experiments/de1c/materials/stim_files/12.png,0,no,0,1114,1,42,4
26,10,1,./static/experiments/de1c/materials/stim_files/3.png,./static/experiments/de1c/materials/stim_files/11.png,0,yes,1,715,1,42,4
27,11,1,./static/experiments/de1c/materials/stim_files/8.png,./static/experiments/de1c/materials/stim_files/4.png,1,no,1,1545,1,42,4
28,12,1,./static/experiments/de1c/materials/stim_files/2.png,./static/experiments/de1c/materials/stim_files/10.png,0,yes,1,1333,1,42,4
29,13,1,./static/experiments/de1c/materials/stim_files/2.png,./static/experiments/de1c/materials/stim_files/10.png,0,yes,1,826,1,42,4
30,14,1,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/5.png,1,no,1,740,1,42,4
31,15,1,./static/experiments/de1c/materials/stim_files/6.png,./static/experiments/de1c/materials/stim_files/2.png,1,no,1,930,1,42,4
32,0,2,./static/experiments/de1c/materials/stim_files/11.png,./static/experiments/de1c/materials/stim_files/3.png,0,yes,1,1004,1,42,4
33,1,2,./static/experiments/de1c/materials/stim_files/8.png,./static/experiments/de1c/materials/stim_files/4.png,1,no,1,1073,1,42,4
34,2,2,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/5.png,1,no,1,916,1,42,4
35,3,2,./static/experiments/de1c/materials/stim_files/10.png,./static/experiments/de1c/materials/stim_files/2.png,0,yes,1,1538,1,42,4
36,4,2,./static/experiments/de1c/materials/stim_files/7.png,./static/experiments/de1c/materials/stim_files/3.png,1,no,1,1834,1,42,4
37,5,2,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/4.png,0,yes,1,2506,1,42,4
38,6,2,./static/experiments/de1c/materials/stim_files/11.png,./static/experiments/de1c/materials/stim_files/3.png,0,yes,1,851,1,42,4
39,7,2,./static/experiments/de1c/materials/stim_files/9.png,./static/experiments/de1c/materials/stim_files/1.png,0,no,0,805,1,42,4
40,8,2,./static/experiments/de1c/materials/stim_files/6.png,./static/experiments/de1c/materials/stim_files/10.png,1,no,1,1718,1,42,4
41,9,2,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/4.png,0,yes,1,1266,1,42,4
42,10,2,./static/experiments/de1c/materials/stim_files/9.png,./static/experiments/de1c/materials/stim_files/5.png,1,no,1,2102,1,42,4
43,11,2,./static/experiments/de1c/materials/stim_files/9.png,./static/experiments/de1c/materials/stim_files/1.png,0,yes,1,1004,1,42,4
44,12,2,./static/experiments/de1c/materials/stim_files/11.png,./static/experiments/de1c/materials/stim_files/7.png,1,yes,0,623,1,42,4
45,13,2,./static/experiments/de1c/materials/stim_files/10.png,./static/experiments/de1c/materials/stim_files/2.png,0,yes,1,738,1,42,4
46,14,2,./static/experiments/de1c/materials/stim_files/2.png,./static/experiments/de1c/materials/stim_files/6.png,1,no,1,1012,1,42,4
47,15,2,./static/experiments/de1c/materials/stim_files/8.png,./static/experiments/de1c/materials/stim_files/12.png,1,no,1,2731,1,42,4
48,0,3,./static/experiments/de1c/materials/stim_files/2.png,./static/experiments/de1c/materials/stim_files/10.png,0,yes,1,1272,1,42,4
49,1,3,./static/experiments/de1c/materials/stim_files/3.png,./static/experiments/de1c/materials/stim_files/7.png,1,no,1,2767,1,42,4
50,2,3,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/8.png,1,no,1,1232,1,42,4
51,3,3,./static/experiments/de1c/materials/stim_files/12.png,./static/experiments/de1c/materials/stim_files/4.png,0,yes,1,3669,1,42,4
52,4,3,./static/experiments/de1c/materials/stim_files/2.png,./static/experiments/de1c/materials/stim_files/10.png,0,no,0,1031,1,42,4
53,5,3,./static/experiments/de1c/materials/stim_files/2.png,./static/experiments/de1c/materials/stim_files/6.png,1,no,1,1504,1,42,4
54,6,3,./static/experiments/de1c/materials/stim_files/5.png,./static/experiments/de1c/materials/stim_files/1.png,1,no,1,779,1,42,4
55,7,3,./static/experiments/de1c/materials/stim_files/11.png,./static/experiments/de1c/materials/stim_files/3.png,0,yes,1,2560,1,42,4
56,8,3,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/9.png,0,no,0,848,1,42,4
57,9,3,./static/experiments/de1c/materials/stim_files/7.png,./static/experiments/de1c/materials/stim_files/11.png,1,no,1,2540,1,42,4
58,10,3,./static/experiments/de1c/materials/stim_files/3.png,./static/experiments/de1c/materials/stim_files/11.png,0,yes,1,1197,1,42,4
59,11,3,./static/experiments/de1c/materials/stim_files/4.png,./static/experiments/de1c/materials/stim_files/12.png,0,yes,1,868,1,42,4
60,12,3,./static/experiments/de1c/materials/stim_files/1.png,./static/experiments/de1c/materials/stim_files/9.png,0,yes,1,806,1,42,4
61,13,3,./static/experiments/de1c/materials/stim_files/4.png,./static/experiments/de1c/materials/stim_files/8.png,1,no,1,828,1,42,4
62,14,3,./static/experiments/de1c/materials/stim_files/9.png,./static/experiments/de1c/materials/stim_files/5.png,1,no,1,813,1,42,4
63,15,3,./static/experiments/de1c/materials/stim_files/6.png,./static/experiments/de1c/materials/stim_files/10.png,1,no,1,668,1,42,4
64,0,0,./static/experiments/de1c/materials/stim_files/4.png,./static/experiments/de1c/materials/stim_files/11.png,1,no,1,13651,1,131,3
65,1,0,./static/experiments/de1c/materials/stim_files/10.png,./static/experiments/de1c/materials/stim_files/3.png,1,no,1,2027,1,131,3
